tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0115632|movie|Basquiat|1996|107|Biography,Drama|director julian schnabel illustrates portrait friend first african american pop artist jean michel basquiat unfortunately died young age beginning make name art world alongside biography basquiat artist art scene early 1980 new york|8/9/96|1981 nineteen year old unknown graffiti writer took new york art world storm rest art history|6.9|20973
tt0115906|movie|Citizen Ruth|1996|106|Comedy,Drama|citizen ruth story ruth stoop woman nobody even noticed got pregnant everyone want piece film comedy one woman caught ultimate tug war clash wild noisy ridiculous people rapidly dissolve medium circus|12/13/96|life liberty money pursuit happiness gotta|7.0|8369
tt0115986|movie|The Crow: City of Angels|1996|84|Action,Crime,Fantasy|ashe little son murdered violently reason judah men return dead take revenge one one judah people face power dark angel second film based james barr cult comic|8/29/96|believe power another|4.6|20601
tt0116000|movie|D3: The Mighty Ducks|1996|104|Action,Comedy,Drama|duck offered scholarship eden hall academy struggle new coach method come pressure board retain scholarship big game varsity team|10/4/96|fear limit brake duck|5.4|27288
tt0116118|tvMovie|Doctor Who: The Movie|1996|89|Adventure,Drama,Sci-Fi|seventh doctor becomes eighth street san francisco alongside new ally grace holloway battle master|3/31/96|back time|6.3|9751
tt0116136|movie|DragonHeart|1996|103|Action,Adventure,Fantasy|ancient time majestic fire breather soared sky knight named bowen come face face heart heart last dragon earth draco taking arm suppress tyrant king bowen soon realizes task harder imagined kill king draco die well|5/31/96|believe|6.4|98037
tt0116269|movie|Faithful|1996|91|Comedy,Crime,Drama|depressed housewife whose husband affair contemplates suicide change mind face death killer hired|4/3/96|comedy wife husband hit man|5.8|2168
tt0116277|movie|The Fan|1996|116|Action,Drama,Sport|san francisco giant pay centerfielder bobby rayburn 40 million lead team world series one happier supportive 1 fan gil renard rayburn becomes mired worst slump career obsessed renard decides stop nothing help idol regain former glory even murder|8/15/96|fan favorite player one favorite target|5.9|48991
tt0116308|movie|Fire|1996|108|Drama,Romance|barren arranged marriage amateur swami seek enlightenment celibacy radha life take irresistible turn beautiful young sister law seek free confines loveless marriage|9/6/96||7.2|6138
tt0116313|movie|The First Wives Club|1996|103|Comedy|year helping hubby climb ladder success three mid life manhattanites dumped newer curvier model trio determined turn pain gain come cleverly devious plan hit ex really hurt wallet|9/20/96|get mad get everything|6.4|49953
tt0116594|movie|I Shot Andy Warhol|1996|103|Biography,Drama|based true story valerie solanas 60 radical preaching hatred toward men scum manifesto wrote screenplay film wanted andy warhol produce continued ignore shot valerie story|5/1/96|get one shot fame|6.6|6852
tt0116743|movie|Kama Sutra: A Tale of Love|1996|117|Crime,Drama,History|tara maya two inseparable friend india taste habit hobby year later two matured maintained friendship tara get married local prince raj singh soon succeeds throne sole heir marriage raj get bored tara start seeking another female satisfy sexual need notice maya instantly attracted included one courtesan intimate watch happens tara find extent go keep marriage intact|9/11/96||6.0|10801
tt0116778|movie|Kingpin|1996|114|Comedy,Sport|bowler roy munson swindle wrong crowd left hook hand settle impoverished obscurity uncovers next big thing amish kid named ishmael corrupt hopelessly na hit circuit intent settling old score big ern|7/4/96|want meet pinhead alley|6.9|85210
tt0116839|movie|Lawnmower Man 2: Beyond Cyberspace|1996|93|Action,Sci-Fi,Thriller|jobe resuscitated jonathan walker want jobe create special computer chip would connect computer world one network walker would control use walker realize group teenage hacker stop plan|1/12/96|god made simple science made god want revenge|2.5|9696
tt0116922|movie|Lost Highway|1997|134|Mystery,Thriller|tormented jazz musician find lost enigmatic story involving murder surveillance gangster doppelganger impossible transformation inside prison cell|1/15/97||7.6|143269
tt0117653|movie|Silent Trigger|1996|93|Action,Drama,Thriller|waxman former special force soldier working heavily armed assassin top secret government agency covert mission go terribly wrong waxman fellow assassin clegg become agency prime target|6/26/96|term clear kill killed|5.4|4156
tt0117677|movie|Snowriders|1996|96|Documentary,Sport|spectacular shot snowcapped peak extreme skier gracefully defying gravity mention common sense highlight entertaining video venerable guru skiing movie warren miller sparing expense miller film crew span globe shooting snowboarder careening absurdly steep alaskan peak ski guide helicoptering remote slope british columbia hardy uninhibited scotsman boldly catch big air kilt video fraught offbeat humor including shot snowshoe race could filmed mack sennett footage face jumping oddball diversion hurling oneself alpine glacier parachuting earth miller gentle narration replete trademark corny remark reminiscent old movie newsreel mix musical soundtrack contemporary rock often uncannily synched astounding footage extreme skiing|10/17/96|man meant fly|7.7|52
tt0117802|movie|Swingers|1996|96|Comedy,Drama|story mike guy left girl new york came la star six month since girlfriend left good pal friend try get back social scene forget 6 year relationship|10/18/96|cocktail first question later|7.2|83573
